msgid,msgstr,placeholders_original,placeholders_translation
The path to the field to update contains a non-relational field (%s) that is not the last field in the path. You can't traverse non-relational fields (even in the quantum realm). Make sure only the last field in the path is non-relational.,Патеката до полето за ажурирање содржи нерелационо поле (%s) кое не е последното поле во патеката. Не можете да ги прелистувате нерелационите полиња (дури ни во квантната област). Осигурајте се дека само последното поле во патеката е нерелационо.,%s,%s
"The precision has been reduced for %s.
Note that existing data WON'T be updated by this change.

As decimal precisions impact the whole system, this may cause critical issues.
E.g. reducing the precision could disturb your financial balance.

Therefore, changing decimal precisions in a running database is not recommended.","Прецизноста е намалена за %s. Имајте предвид дека постоечките податоци нема да бидат ажурирани со оваа промена. Бидејќи децималните прецизности влијаат на целиот систем, ова може да предизвика критични проблеми. На пример, намалувањето на прецизноста може да го наруши вашиот финансиски биланс. Затоа, не се препорачува менување на децималните прецизности во активна база на податоци.",%s,%s
"The private key or the certificate is not a valid file. 
%s",Приватниот клуч или сертификатот не е валидна датотека. %s,%s,%s
"The record %(xml_id)s has the module prefix %(module_name)s. This is the part before the '.' in the external id. Because the prefix refers to an existing module, the record would be deleted when the module is upgraded. Use either no prefix and no dot or a prefix that isn't an existing module. For example, __import__, resulting in the external id __import__.%(record_id)s.","Записот %(xml_id)s го има модуларниот префикс %(module_name)s. Ова е делот пред ""."" во надворешниот идентификатор. Бидејќи префиксот се однесува на постоечки модул, записот ќе биде избришан кога модулот ќе се надгради. Користете или без префикс и без точка, или префикс што не е постоечки модул. На пример, __import__, што резултира со надворешен идентификатор __import__.%(record_id)s.","%(xml_id)s, %(module_name)s, %(record_id)s","%(xml_id)s, %(module_name)s, %(record_id)s"
"The root node of a %(view_type)s view should be a <%(view_type)s>, not a <%(tag)s>","Коренот на %(view_type)s видот треба да биде <%(view_type)s>, а не <%(tag)s>","%(view_type)s, %(view_type)s, %(tag)s","%(view_type)s, %(view_type)s, %(tag)s"
"The server ""%(server_name)s"" doesn't return the maximum email size.","Серверот ""%(server_name)s"" не ја враќа максималната големина на е-пошта.",%(server_name)s,%(server_name)s
"The server ""%s"" cannot be used because it is archived.","Серверот ""%s"" не може да се користи бидејќи е архивиран.",%s,%s
"The server has closed the connection unexpectedly. Check configuration served on this port number.
 %s",Серверот неочекувано ја затвори врската. Проверете ја конфигурацијата што се служи на овој порт број. %s,%s,%s
The server refused the sender address (%(email_from)s) with error %(repl)s,Серверот ја одби адресата на испраќачот (%(email_from)s) со грешка %(repl)s,"%(email_from)s, %(repl)s","%(email_from)s, %(repl)s"
The server refused the test connection with error %(repl)s,Серверот ја одби тест-конекцијата со грешка %(repl)s,%(repl)s,%(repl)s
The server refused the test recipient (%(email_to)s) with error %(repl)s,Серверот го одби примачот на тестот (%(email_to)s) со грешка %(repl)s,"%(email_to)s, %(repl)s","%(email_to)s, %(repl)s"
"The table “%s” is used by another, possibly incompatible field(s).","Табелата ""%s"" се користи од друго, можеби некомпатибилно поле.",%s,%s
The value (%s) passed should be positive,Вредноста (%s) што се пренесува треба да биде позитивна.,%s,%s
The value for the field '%(field)s' already exists (this is probably '%(other_field)s' in the current model).,Вредноста за полето '%(field)s' веќе постои (ова веројатно е '%(other_field)s' во тековниот модел).,"%(field)s, %(other_field)s","%(field)s, %(other_field)s"
The values for the fields '%(fields)s' already exist (they are probably '%(other_fields)s' in the current model).,Вредностите за полињата '%(fields)s' веќе постојат (веројатно се '%(other_fields)s' во тековниот модел).,"%(fields)s, %(other_fields)s","%(fields)s, %(other_fields)s"
"There is already a shared filter set as default for %(model)s, delete or change it before setting a new default","Веќе постои заеднички сет филтри како стандарден за %(model)s, избришете го или променете го пред да поставите нов стандарден.",%(model)s,%(model)s
"This operation is allowed for the following groups:
%(groups_list)s",Оваа операција е дозволена за следниве групи: %(groups_list)s,%(groups_list)s,%(groups_list)s
Those modules cannot be uninstalled: %s,Тие модули не можат да се деинсталираат: %s,%s,%s
"Too large image (above %sMpx), reduce the image size.","Преголема слика (над %s Мпкс), намалете ја големината на сликата.",%s,%s
"Uh-oh! Looks like you have stumbled upon some top-secret records.

Sorry, %(user)s doesn't have '%(operation)s' access to:","Уа-оу! Изгледа дека налетавте на некои строго доверливи записи. Жал ми е, %(user)s нема '%(operation)s' пристап до:","%(user)s, %(operation)s","%(user)s, %(operation)s"
Unable to delete %(record)s because it is used as the default value of %(field)s,Не може да се избрише %(record)s бидејќи се користи како стандардна вредност за %(field)s,"%(record)s, %(field)s","%(record)s, %(field)s"
"Unable to import'%%(field)s' Properties field as a whole, target individual property instead.","Не може да се увезе полето ""%%(field)s"" Properties како целина, наместо тоа насочете се кон поединечна својство.",%(field)s,%(field)s
"Unable to install module ""%(module)s"" because an external dependency is not met: %(dependency)s","Не може да се инсталира модулот ""%(module)s"" бидејќи надворешната зависност не е исполнета: %(dependency)s","%(module)s, %(dependency)s","%(module)s, %(dependency)s"
Unable to order by %s: fields used for ordering must be present on the model and stored.,Не може да се подреди по %s: полињата што се користат за подредување мора да бидат присутни на моделот и зачувани.,%s,%s
"Unable to process module ""%(module)s"" because an external dependency is not met: %(dependency)s","Не може да се обработи модулот ""%(module)s"" бидејќи надворешна зависност не е исполнета: %(dependency)s","%(module)s, %(dependency)s","%(module)s, %(dependency)s"
"Unable to upgrade module ""%(module)s"" because an external dependency is not met: %(dependency)s","Не може да се надгради модулот ""%(module)s"" бидејќи надворешната зависност не е исполнета: %(dependency)s","%(module)s, %(dependency)s","%(module)s, %(dependency)s"
Unit per %s,Единица по %s,%s,%s
Unknown database error: '%s',Непозната грешка во базата на податоци: '%s',%s,%s
Unknown database identifier '%s',Непознат идентификатор на база на податоци '%s',%s,%s
Unknown error during import: %(error_type)s: %(error_message)s,Непозната грешка за време на увоз: %(error_type)s: %(error_message)s,"%(error_type)s, %(error_message)s","%(error_type)s, %(error_message)s"
"Unknown field ""%(model)s.%(field)s"" in %(use)s)","Непознато поле ""%(model)s.%(field)s"" во %(use)s)","%(model)s, %(field)s, %(use)s","%(model)s, %(field)s, %(use)s"
"Unknown field name ""%(field_name)s"" in related field ""%(related_field)s""","Непознато име на поле ""%(field_name)s"" во поврзано поле ""%(related_field)s""","%(field_name)s, %(related_field)s","%(field_name)s, %(related_field)s"
Unknown field specified “%s” in currency_field,"Непознато поле е наведено ""%s"" во currency_field",%s,%s
"Unknown field “%(field)s” in ""group_by"" value in %(attribute)s=“%(value)s”","Непознато поле ""%(field)s"" во вредноста на ""group_by"" во %(attribute)s=""%(value)s""","%(field)s, %(attribute)s, %(value)s","%(field)s, %(attribute)s, %(value)s"
Unknown field “%(field)s” in dependency “%(dependency)s”,"Непознато поле ""%(field)s"" во зависност ""%(dependency)s""","%(field)s, %(dependency)s","%(field)s, %(dependency)s"
Unknown model name '%s' in Related Model,Непознато име на моделот '%s' во поврзаниот модел,%s,%s
Unknown sub-field “%s”,"Непознато подполе ""%s""",%s,%s
Unknown value '%(value)s' for boolean '%(label_property)s' property (subfield of '%%(field)s' field).,Непозната вредност '%(value)s' за логичката својство '%(label_property)s' (подполе на полето '%%(field)s').,"%(value)s, %(label_property)s, %(field)s","%(value)s, %(label_property)s, %(field)s"
Unknown value '%s' for boolean field '%%(field)s',Непозната вредност '%s' за булејско поле '%%(field)s',"%s, %(field)s","%s, %(field)s"
"Unrecognized extension: must be one of .csv, .po, or .tgz (received .%s).","Непрепознаено наставка: мора да биде една од .csv, .po или .tgz (примено .%s).",%s,%s
Unsearchable field “%(field)s” in path “%(field_path)s” in %(use)s),"Непребарувачко поле ""%(field)s"" во патека ""%(field_path)s"" во %(use)s)","%(field)s, %(field_path)s, %(use)s","%(field)s, %(field_path)s, %(use)s"
Use the format '%s',Користете го форматот '%s',%s,%s
Value '%s' not found in selection field '%%(field)s',Вредноста '%s' не е пронајдена во полето за избор '%%(field)s',"%s, %(field)s","%s, %(field)s"
View '%(name)s' accessible only to groups %(groups)s ,"Приказ на ""%(name)s"" достапен само за групите %(groups)s ","%(name)s, %(groups)s","%(name)s, %(groups)s"
View '%(name)s' is private,"Приказот ""%(name)s"" е приватен",%(name)s,%(name)s
Warning for %s,Предупредување за %s,%s,%s
"When subsequences per date range are used, you can prefix variables with 'range_'
                                to use the beginning of the range instead of the current date, e.g. %(range_year)s instead of %(year)s.","Кога се користат поднизки по опсег на датуми, можете да ги префиксирате променливите со ""range_"" за да го користите почетокот на опсегот наместо тековниот датум, на пр. %(range_year)s наместо %(year)s.","%(range_year)s, %(year)s","%(range_year)s, %(year)s"
Wkhtmltoimage failed (error code: %(error_code)s). Message: %(error_message_end)s,Wkhtmltoimage не успеа (код на грешка: %(error_code)s). Порака: %(error_message_end)s,"%(error_code)s, %(error_message_end)s","%(error_code)s, %(error_message_end)s"
Wkhtmltopdf failed (error code: %(error_code)s). Memory limit too low or maximum file number of subprocess reached. Message : %(message)s,Wkhtmltopdf не успеа (код на грешка: %(error_code)s). Лимитот на меморија е пренизок или е достигнат максималниот број на датотеки во подпроцесот. Порака: %(message)s,"%(error_code)s, %(message)s","%(error_code)s, %(message)s"
Wkhtmltopdf failed (error code: %(error_code)s). Message: %(message)s,Wkhtmltopdf не успеа (код на грешка: %(error_code)s). Порака: %(message)s,"%(error_code)s, %(message)s","%(error_code)s, %(message)s"
"Wow, your webhook call failed with a really unusual error: %s","Леле, повикот на вашиот вебхук не успеа со навистина необична грешка: %s",%s,%s
You are not allowed to access '%(document_kind)s' (%(document_model)s) records.,Не ви е дозволен пристап до записите '%(document_kind)s' (%(document_model)s).,"%(document_kind)s, %(document_model)s","%(document_kind)s, %(document_model)s"
You are not allowed to create '%(document_kind)s' (%(document_model)s) records.,Не ви е дозволено да креирате записи '%(document_kind)s' (%(document_model)s).,"%(document_kind)s, %(document_model)s","%(document_kind)s, %(document_model)s"
You are not allowed to delete '%(document_kind)s' (%(document_model)s) records.,Не ви е дозволено да ги избришете записите '%(document_kind)s' (%(document_model)s).,"%(document_kind)s, %(document_model)s","%(document_kind)s, %(document_model)s"
You are not allowed to modify '%(document_kind)s' (%(document_model)s) records.,Не ви е дозволено да ги менувате записите '%(document_kind)s' (%(document_model)s).,"%(document_kind)s, %(document_model)s","%(document_kind)s, %(document_model)s"
"You are trying to install incompatible modules in category ""%(category)s"":%(module_list)s","Се обидувате да инсталирате некомпатибилни модули во категорија ""%(category)s"":%(module_list)s","%(category)s, %(module_list)s","%(category)s, %(module_list)s"
"You cannot archive contacts linked to an active user.
Ask an administrator to archive their associated user first.

Linked active users :
%(names)s",Не можете да архивирате контакти поврзани со активен корисник. Побарајте од администратор прво да го архивира поврзаниот корисник. Поврзани активни корисници: %(names)s,%(names)s,%(names)s
"You cannot archive contacts linked to an active user.
You first need to archive their associated user.

Linked active users : %(names)s",Не можете да архивирате контакти поврзани со активен корисник. Прво треба да го архивирате поврзаниот корисник. Поврзани активни корисници: %(names)s,%(names)s,%(names)s
"You cannot archive these Outgoing Mail Servers (%(server_usage)s) because they are still used in the following case(s):
%(usage_details)s",Не можете да ги архивирате овие сервери за испраќање пошта (%(server_usage)s) бидејќи тие сè уште се користат во следниве случаи: %(usage_details)s,"%(server_usage)s, %(usage_details)s","%(server_usage)s, %(usage_details)s"
"You cannot archive this Outgoing Mail Server (%(server_usage)s) because it is still used in the following case(s):
%(usage_details)s",Не можете да го архивирате овој сервер за испраќање пошта (%(server_usage)s) бидејќи сè уште се користи во следниве случаи: %(usage_details)s,"%(server_usage)s, %(usage_details)s","%(server_usage)s, %(usage_details)s"
"You cannot delete %(to_delete_record)s, as it is used by %(on_restrict_record)s","Не можете да го избришете %(to_delete_record)s, бидејќи %(on_restrict_record)s го користи.","%(to_delete_record)s, %(on_restrict_record)s","%(to_delete_record)s, %(on_restrict_record)s"
"You cannot delete contacts linked to an active user.
Ask an administrator to archive their associated user first.

Linked active users :
%(names)s",Не можете да ги избришете контактите поврзани со активен корисник. Побарајте од администратор прво да го архивира поврзаниот корисник. Поврзани активни корисници: %(names)s,%(names)s,%(names)s
"You cannot delete contacts linked to an active user.
You should rather archive them after archiving their associated user.

Linked active users : %(names)s","Не можете да ги избришете контактите поврзани со активен корисник. Наместо тоа, треба да ги архивирате откако ќе го архивирате поврзаниот корисник. Поврзани активни корисници: %(names)s",%(names)s,%(names)s
You cannot delete the %s record.,Не можете да го избришете записот %s.,%s,%s
You cannot exceed %(duration)s days.,Не можете да надминете %(duration)s дена.,%(duration)s,%(duration)s
You cannot rename config parameters with keys %s,Не можете да ги преименувате конфигурациските параметри со клучеви %s,%s,%s
You cannot use “%(property_name)s” because the linked “%(model_name)s” model doesn't exist or is invalid,"Не можете да го користите ""%(property_name)s"" бидејќи поврзаниот модел ""%(model_name)s"" не постои или е неважечки.","%(property_name)s, %(model_name)s","%(property_name)s, %(model_name)s"
"You do not have enough rights to access the fields ""%(fields)s"" on %(document_kind)s (%(document_model)s). Please contact your system administrator.

Operation: %(operation)s","Немате доволно права за пристап до полињата ""%(fields)s"" на %(document_kind)s (%(document_model)s). Ве молиме контактирајте го вашиот систем администратор. Операција: %(operation)s","%(fields)s, %(document_kind)s, %(document_model)s, %(operation)s","%(fields)s, %(document_kind)s, %(document_model)s, %(operation)s"
"You try to install module ""%(module)s"" that depends on module ""%(dependency)s"".
But the latter module is not available in your system.","Се обидувате да го инсталирате модулот ""%(module)s"", кој зависи од модулот ""%(dependency)s"". Но, овој модул не е достапен во вашиот систем.","%(module)s, %(dependency)s","%(module)s, %(dependency)s"
"You try to upgrade the module %(module)s that depends on the module: %(dependency)s.
But this module is not available in your system.",Се обидувате да го надградите модулот %(module)s кој зависи од модулот %(dependency)s. Но овој модул не е достапен во вашиот систем.,"%(module)s, %(dependency)s","%(module)s, %(dependency)s"
allowed for groups %s,дозволени групи %s,%s,%s
“%(attribute)s” value must be an integer (%(value)s),"""%(attribute)s"" вредноста мора да биде цел број (%(value)s)","%(attribute)s, %(value)s","%(attribute)s, %(value)s"
